country,year,value
Slovenia,2013,0.901
Slovenia,2014,0.903
Slovenia,2015,0.903
Slovenia,2016,0.909
Slovenia,2017,0.912
Slovenia,2018,0.916
Slovenia,2019,0.918
Slovenia,2020,0.91
Slovenia,2021,0.916
Slovenia,2022,0.926
Sweden,1990,0.808
Sweden,1991,0.811
Sweden,1992,0.8180000000000001
Sweden,1993,0.84
Sweden,1994,0.852
Sweden,1995,0.859
Sweden,1996,0.867
Sweden,1997,0.878
Sweden,1998,0.891
Sweden,1999,0.897
Sweden,2000,0.903
Sweden,2001,0.906
Sweden,2002,0.909
Sweden,2003,0.914
Sweden,2004,0.901
Sweden,2005,0.903
Sweden,2006,0.907
Sweden,2007,0.909
Sweden,2008,0.905
Sweden,2009,0.904
Sweden,2010,0.91
Sweden,2011,0.912
Sweden,2012,0.912
Sweden,2013,0.932
Sweden,2014,0.935
Sweden,2015,0.937
Sweden,2016,0.9390000000000001
Sweden,2017,0.9410000000000001
Sweden,2018,0.9430000000000001
Sweden,2019,0.9470000000000001
Sweden,2020,0.9440000000000001
Sweden,2021,0.9490000000000001
Sweden,2022,0.9520000000000001
Turkey,1990,0.598
Turkey,1991,0.602
Turkey,1992,0.608
Turkey,1993,0.615
Turkey,1994,0.616
Turkey,1995,0.623
Turkey,1996,0.63
Turkey,1997,0.638
Turkey,1998,0.648
Turkey,1999,0.652
Turkey,2000,0.669
Turkey,2001,0.675
Turkey,2002,0.685
Turkey,2003,0.6910000000000001
Turkey,2004,0.6960000000000001
Turkey,2005,0.7010000000000001
Turkey,2006,0.711
Turkey,2007,0.718
Turkey,2008,0.721
Turkey,2009,0.728
Turkey,2010,0.75
Turkey,2011,0.763
Turkey,2012,0.772
Turkey,2013,0.802
Turkey,2014,0.812
Turkey,2015,0.8210000000000001
Turkey,2016,0.8260000000000001
Turkey,2017,0.833
Turkey,2018,0.838
Turkey,2019,0.842
Turkey,2020,0.835
Turkey,2021,0.841
Turkey,2022,0.855
United States,1990,0.875
United States,1991,0.875
United States,1992,0.88
United States,1993,0.882
United States,1994,0.885
United States,1995,0.886
United States,1996,0.887
United States,1997,0.889
United States,1998,0.891
United States,1999,0.891
United States,2000,0.894
United States,2001,0.895
United States,2002,0.896
United States,2003,0.898
United States,2004,0.902
United States,2005,0.904
United States,2006,0.908
United States,2007,0.911
United States,2008,0.912
United States,2009,0.913
United States,2010,0.916
United States,2011,0.918
United States,2012,0.92
United States,2013,0.922
United States,2014,0.923
United States,2015,0.924
United States,2016,0.926
United States,2017,0.928
United States,2018,0.93
United States,2019,0.933
United States,2020,0.923
United States,2021,0.921
United States,2022,0.927
