,country,year,Effective Parliament (highest score=1),Election free and fair (highest score=1),Election government intimidation (highest score=1),Voter turnout (highest score=1),Fair trial (highest score=1),Judicial Independence (highest score=1),Predictable Enforcement (highest score=1),Freedom of Religion (highest score=1),Free Political Parties (highest score=1),Harassment of journalists (highest score=1),Media bias (highest score=1),Media freedom (highest score=1),Freedom of the Press (highest score=1),Gender Equality (highest score=1),Educational equality (highest score=1),Health equality (highest score=1),Infant mortality rate (highest score=1),Life expectancy (highest score=1),Mean years of schooling (highest score=1),Human Development Index
150,Chile,2008,0.92,0.95,0.96,0.63,0.67,0.82,0.71,0.98,0.86,0.73,0.85,1.0,0.78,0.61,0.54,0.55,0.97,0.92,0.41,0.812
151,Chile,2009,0.92,0.95,0.97,0.59,0.67,0.82,0.71,0.98,0.86,0.73,0.82,1.0,0.77,0.6,0.54,0.55,0.97,0.92,0.41,0.811
152,Chile,2010,0.92,0.95,0.97,0.59,0.67,0.82,0.76,0.98,0.86,0.73,0.85,1.0,0.78,0.61,0.54,0.57,0.97,0.92,0.42,0.8130000000000001
153,Chile,2011,0.92,0.95,0.97,0.59,1.0,0.82,0.76,0.98,0.86,0.73,0.88,1.0,0.79,0.6,0.54,0.57,0.97,0.92,0.42,0.8160000000000001
154,Chile,2012,0.92,0.95,0.97,0.59,1.0,0.82,0.77,1.0,0.77,0.73,0.88,1.0,0.79,0.6,0.54,0.57,0.97,0.92,0.42,0.8240000000000001
155,Chile,2013,0.87,0.93,0.95,0.45,1.0,0.88,0.75,1.0,0.77,0.73,0.88,0.5,0.78,0.6,0.54,0.56,0.97,0.93,0.43,0.837
156,Chile,2014,0.92,0.93,0.95,0.45,1.0,0.88,0.76,1.0,0.77,0.73,0.88,0.5,0.79,0.63,0.54,0.56,0.97,0.93,0.43,0.841
157,Chile,2015,0.91,0.93,0.95,0.45,1.0,0.86,0.76,1.0,0.77,0.73,0.82,1.0,0.76,0.62,0.53,0.56,0.97,0.93,0.43,0.846
158,Chile,2016,0.91,0.93,0.95,0.45,1.0,0.86,0.73,1.0,0.77,0.73,0.82,1.0,0.76,0.59,0.53,0.56,0.97,0.94,0.43,0.851
159,Chile,2017,0.92,0.93,0.95,0.49,1.0,0.86,0.73,1.0,0.77,0.73,0.82,1.0,0.77,0.6,0.53,0.56,0.97,0.94,0.44,0.854
160,Chile,2018,0.92,0.93,0.95,0.49,1.0,0.77,0.72,1.0,0.7,0.73,0.78,1.0,0.75,0.6,0.57,0.56,0.98,0.94,0.44,0.856
161,Chile,2019,0.92,0.93,0.95,0.49,1.0,0.79,0.68,1.0,0.7,0.71,0.74,1.0,0.68,0.6,0.57,0.56,0.98,0.94,0.44,0.859
162,Chile,2020,0.91,0.93,0.95,0.49,1.0,0.81,0.7,1.0,0.7,0.71,0.68,1.0,0.68,0.62,0.56,0.55,0.98,0.93,0.44,0.849
163,Chile,2021,0.91,0.88,0.91,0.5,1.0,0.84,0.72,1.0,0.7,0.75,0.71,1.0,0.7,0.61,0.58,0.55,0.98,0.93,0.45,0.856
164,Chile,2022,0.91,0.88,0.91,0.5,1.0,0.86,0.71,1.0,0.66,0.65,0.71,1.0,0.66,0.65,0.58,0.55,0.98,0.93,0.45,0.86
165,Colombia,1990,0.61,0.65,0.59,0.39,0.33,0.54,0.42,0.71,0.61,0.31,0.64,0.5,0.56,0.38,0.38,0.39,0.85,0.78,0.24,0.614
166,Colombia,1991,0.64,0.66,0.6,0.24,0.33,0.64,0.45,0.8,0.61,0.31,0.64,0.5,0.56,0.48,0.38,0.39,0.86,0.78,0.24,0.622
167,Colombia,1992,0.67,0.66,0.6,0.24,0.33,0.64,0.47,0.8,0.61,0.31,0.74,0.5,0.6,0.49,0.38,0.46,0.86,0.79,0.24,0.631
168,Colombia,1993,0.67,0.66,0.6,0.24,0.33,0.64,0.47,0.8,0.61,0.31,0.74,0.5,0.6,0.49,0.38,0.46,0.87,0.79,0.25,0.637
169,Colombia,1994,0.67,0.67,0.6,0.28,0.33,0.64,0.47,0.8,0.61,0.31,0.74,0.5,0.61,0.49,0.38,0.46,0.87,0.79,0.25,0.643
170,Colombia,1995,0.65,0.67,0.6,0.28,0.33,0.64,0.47,0.8,0.56,0.31,0.74,0.5,0.62,0.49,0.38,0.46,0.88,0.8,0.25,0.647
171,Colombia,1996,0.66,0.67,0.6,0.28,0.33,0.64,0.47,0.8,0.56,0.31,0.66,0.5,0.6,0.49,0.38,0.46,0.88,0.8,0.26,0.654
172,Colombia,1997,0.65,0.67,0.6,0.28,0.33,0.64,0.45,0.8,0.56,0.31,0.66,0.5,0.6,0.49,0.38,0.46,0.88,0.81,0.26,0.661
173,Colombia,1998,0.65,0.64,0.6,0.39,0.33,0.64,0.45,0.8,0.51,0.31,0.66,0.5,0.6,0.5,0.38,0.46,0.89,0.81,0.27,0.666
174,Colombia,1999,0.65,0.64,0.6,0.39,0.33,0.64,0.45,0.8,0.51,0.31,0.66,0.5,0.59,0.5,0.38,0.46,0.89,0.81,0.27,0.665
175,Colombia,2000,0.65,0.64,0.6,0.39,0.33,0.64,0.45,0.8,0.51,0.4,0.66,0.0,0.59,0.5,0.38,0.42,0.9,0.82,0.27,0.672
176,Colombia,2001,0.65,0.64,0.6,0.39,0.33,0.64,0.45,0.75,0.51,0.4,0.66,0.0,0.59,0.51,0.38,0.42,0.9,0.82,0.28,0.674
177,Colombia,2002,0.65,0.61,0.6,0.44,0.33,0.64,0.48,0.8,0.56,0.46,0.74,0.0,0.59,0.51,0.38,0.42,0.9,0.83,0.28,0.676
178,Colombia,2003,0.65,0.61,0.6,0.44,0.33,0.64,0.48,0.8,0.56,0.46,0.65,0.0,0.56,0.51,0.38,0.42,0.91,0.83,0.29,0.683
179,Colombia,2004,0.65,0.61,0.6,0.44,0.33,0.64,0.48,0.8,0.56,0.46,0.65,0.0,0.57,0.51,0.38,0.42,0.91,0.84,0.29,0.6890000000000001
180,Colombia,2005,0.65,0.61,0.6,0.44,0.33,0.64,0.48,0.8,0.56,0.46,0.65,0.0,0.58,0.51,0.38,0.42,0.91,0.84,0.3,0.7010000000000001
181,Colombia,2006,0.65,0.64,0.64,0.43,0.33,0.61,0.45,0.8,0.54,0.46,0.65,0.5,0.59,0.5,0.39,0.42,0.91,0.85,0.3,0.7030000000000001
182,Colombia,2007,0.65,0.65,0.64,0.43,0.33,0.61,0.45,0.8,0.54,0.46,0.65,0.5,0.6,0.51,0.39,0.42,0.92,0.85,0.31,0.715
183,Colombia,2008,0.65,0.65,0.64,0.43,0.33,0.6,0.45,0.8,0.54,0.44,0.65,0.5,0.6,0.49,0.39,0.42,0.92,0.86,0.31,0.722
184,Colombia,2009,0.65,0.65,0.64,0.43,0.33,0.6,0.45,0.98,0.54,0.44,0.65,0.5,0.6,0.49,0.39,0.42,0.92,0.86,0.32,0.728
185,Colombia,2010,0.65,0.7,0.68,0.44,0.33,0.61,0.48,0.75,0.54,0.47,0.69,0.5,0.63,0.5,0.4,0.42,0.92,0.87,0.32,0.732
186,Colombia,2011,0.66,0.7,0.68,0.44,0.33,0.64,0.49,0.8,0.54,0.53,0.7,0.5,0.65,0.51,0.4,0.42,0.93,0.87,0.33,0.738
187,Colombia,2012,0.66,0.7,0.68,0.44,0.33,0.65,0.5,0.86,0.55,0.53,0.7,0.5,0.64,0.52,0.4,0.42,0.93,0.88,0.33,0.739
188,Colombia,2013,0.65,0.7,0.68,0.44,0.67,0.65,0.5,0.86,0.55,0.5,0.68,0.5,0.64,0.52,0.4,0.38,0.93,0.88,0.34,0.75
189,Colombia,2014,0.66,0.66,0.73,0.52,0.67,0.66,0.51,1.0,0.55,0.5,0.68,0.5,0.64,0.53,0.4,0.38,0.93,0.88,0.34,0.755
190,Colombia,2015,0.66,0.64,0.73,0.52,0.67,0.66,0.51,0.86,0.55,0.5,0.68,0.5,0.66,0.53,0.4,0.38,0.94,0.88,0.35,0.758
191,Colombia,2016,0.65,0.64,0.73,0.52,0.67,0.66,0.51,0.86,0.56,0.54,0.69,0.5,0.64,0.52,0.4,0.4,0.94,0.89,0.35,0.763
192,Colombia,2017,0.65,0.64,0.73,0.52,0.67,0.67,0.51,0.86,0.56,0.53,0.68,0.5,0.64,0.52,0.39,0.4,0.94,0.89,0.36,0.765
193,Colombia,2018,0.65,0.8,0.79,0.57,0.67,0.67,0.5,0.81,0.55,0.5,0.65,0.5,0.61,0.5,0.39,0.37,0.94,0.89,0.36,0.766
194,Colombia,2019,0.63,0.8,0.79,0.57,0.67,0.66,0.48,0.86,0.55,0.44,0.66,0.5,0.59,0.49,0.33,0.35,0.95,0.89,0.37,0.768
195,Colombia,2020,0.59,0.8,0.79,0.57,0.67,0.66,0.45,0.86,0.55,0.46,0.63,0.5,0.6,0.49,0.34,0.35,0.95,0.86,0.37,0.756
196,Colombia,2021,0.58,0.8,0.79,0.57,0.67,0.65,0.45,0.86,0.55,0.55,0.66,0.5,0.61,0.47,0.3,0.42,0.95,0.86,0.38,0.752
197,Colombia,2022,0.59,0.84,0.71,0.62,0.67,0.64,0.49,0.86,0.6,0.49,0.73,0.5,0.64,0.48,0.3,0.4,0.95,0.86,0.38,0.758
198,Costa Rica,1990,0.77,0.86,0.93,0.85,1.0,0.84,0.69,0.85,0.74,0.7,0.94,1.0,0.77,0.64,0.74,0.84,0.93,0.89,0.3,0.659
199,Costa Rica,1991,0.77,0.86,0.93,0.85,1.0,0.84,0.73,0.98,0.74,0.7,0.94,1.0,0.79,0.65,0.74,0.84,0.94,0.89,0.31,0.662
200,Costa Rica,1992,0.77,0.86,0.93,0.85,1.0,0.84,0.73,0.85,0.74,0.7,0.94,1.0,0.79,0.65,0.74,0.84,0.94,0.89,0.31,0.673
201,Costa Rica,1993,0.77,0.86,0.93,0.85,1.0,0.84,0.73,0.85,0.74,0.7,0.94,1.0,0.79,0.65,0.74,0.84,0.94,0.89,0.31,0.681
202,Costa Rica,1994,0.79,0.86,0.93,0.84,1.0,0.84,0.73,0.85,0.74,0.7,0.94,1.0,0.79,0.64,0.74,0.84,0.94,0.89,0.31,0.684
203,Costa Rica,1995,0.79,0.86,0.93,0.84,1.0,0.84,0.73,0.98,0.74,0.7,0.94,1.0,0.79,0.66,0.74,0.84,0.94,0.89,0.31,0.6900000000000001
204,Costa Rica,1996,0.79,0.86,0.93,0.84,1.0,0.84,0.73,0.98,0.74,0.7,0.94,1.0,0.79,0.66,0.74,0.84,0.94,0.89,0.31,0.6920000000000001
205,Costa Rica,1997,0.79,0.86,0.93,0.84,1.0,0.84,0.73,0.98,0.74,0.7,0.94,1.0,0.79,0.66,0.74,0.84,0.94,0.9,0.31,0.6990000000000001
206,Costa Rica,1998,0.83,0.86,0.93,0.74,1.0,0.84,0.73,0.98,0.74,0.7,0.94,1.0,0.79,0.67,0.74,0.84,0.94,0.89,0.31,0.705
207,Costa Rica,1999,0.83,0.86,0.93,0.74,1.0,0.84,0.73,0.98,0.74,0.7,0.94,1.0,0.79,0.66,0.73,0.84,0.95,0.9,0.31,0.707
208,Costa Rica,2000,0.83,0.86,0.93,0.74,1.0,0.84,0.73,0.98,0.74,0.7,0.87,1.0,0.81,0.72,0.73,0.84,0.95,0.9,0.32,0.709
209,Costa Rica,2001,0.83,0.86,0.93,0.74,1.0,0.84,0.73,0.98,0.74,0.7,0.87,1.0,0.81,0.72,0.73,0.84,0.95,0.9,0.32,0.714
210,Costa Rica,2002,0.83,0.87,0.93,0.58,1.0,0.84,0.73,0.98,0.74,0.7,0.87,1.0,0.81,0.76,0.73,0.84,0.95,0.91,0.32,0.721
211,Costa Rica,2003,0.83,0.87,0.93,0.58,1.0,0.84,0.73,0.98,0.74,0.7,0.87,1.0,0.81,0.76,0.73,0.84,0.96,0.91,0.32,0.726
212,Costa Rica,2004,0.83,0.87,0.93,0.58,1.0,0.84,0.73,0.98,0.74,0.7,0.87,1.0,0.8,0.76,0.73,0.84,0.96,0.91,0.32,0.731
213,Costa Rica,2005,0.83,0.87,0.93,0.58,1.0,0.84,0.69,0.98,0.74,0.7,0.87,1.0,0.8,0.78,0.73,0.84,0.96,0.92,0.32,0.739
214,Costa Rica,2006,0.83,0.92,0.99,0.64,1.0,0.83,0.69,0.98,0.77,0.7,0.87,1.0,0.8,0.79,0.73,0.84,0.96,0.92,0.33,0.745
215,Costa Rica,2007,0.83,0.92,0.99,0.64,1.0,0.83,0.69,0.85,0.77,0.7,0.87,1.0,0.8,0.77,0.73,0.84,0.96,0.92,0.33,0.754
216,Costa Rica,2008,0.83,0.92,0.99,0.64,1.0,0.86,0.69,0.98,0.77,0.7,0.87,1.0,0.8,0.77,0.73,0.84,0.96,0.92,0.33,0.762
217,Costa Rica,2009,0.83,0.92,0.99,0.64,1.0,0.87,0.7,0.8,0.77,0.7,0.87,1.0,0.8,0.77,0.73,0.84,0.96,0.92,0.34,0.765
218,Costa Rica,2010,0.83,0.93,1.0,0.62,1.0,0.87,0.71,0.8,0.77,0.7,0.87,1.0,0.81,0.81,0.73,0.84,0.96,0.92,0.34,0.769
219,Costa Rica,2011,0.83,0.93,1.0,0.62,1.0,0.85,0.71,0.85,0.77,0.7,0.87,1.0,0.81,0.81,0.73,0.84,0.96,0.93,0.34,0.778
220,Costa Rica,2012,0.83,0.93,1.0,0.62,1.0,0.87,0.72,1.0,0.7,0.7,0.87,1.0,0.8,0.81,0.73,0.84,0.96,0.93,0.35,0.782
221,Costa Rica,2013,0.81,0.93,1.0,0.62,1.0,0.87,0.68,0.81,0.7,0.7,0.87,1.0,0.79,0.81,0.73,0.84,0.96,0.93,0.35,0.787
222,Costa Rica,2014,0.83,0.93,0.95,0.52,1.0,0.84,0.72,1.0,0.7,0.7,0.87,1.0,0.78,0.8,0.73,0.84,0.97,0.92,0.36,0.79
223,Costa Rica,2015,0.83,0.93,0.99,0.52,1.0,0.84,0.7,0.89,0.7,0.7,0.87,1.0,0.78,0.79,0.73,0.84,0.97,0.92,0.36,0.792
224,Costa Rica,2016,0.83,0.93,0.99,0.52,1.0,0.84,0.72,0.89,0.7,0.7,0.87,1.0,0.78,0.79,0.73,0.84,0.97,0.93,0.36,0.796
225,Costa Rica,2017,0.89,0.93,0.99,0.52,1.0,0.86,0.72,1.0,0.7,0.7,0.87,1.0,0.78,0.78,0.74,0.84,0.97,0.93,0.37,0.8
226,Costa Rica,2018,0.89,0.9,0.96,0.59,1.0,0.89,0.7,1.0,0.7,0.7,0.87,1.0,0.78,0.78,0.74,0.84,0.97,0.93,0.37,0.804
227,Costa Rica,2019,0.89,0.9,0.96,0.59,1.0,0.89,0.7,0.89,0.7,0.7,0.87,1.0,0.78,0.78,0.74,0.84,0.97,0.93,0.38,0.811
228,Costa Rica,2020,0.89,0.9,0.96,0.59,1.0,0.89,0.73,0.89,0.66,0.7,0.87,1.0,0.79,0.77,0.74,0.84,0.97,0.93,0.38,0.811
229,Costa Rica,2021,0.89,0.9,0.96,0.59,1.0,0.89,0.72,1.0,0.66,0.7,0.87,1.0,0.78,0.8,0.65,0.78,0.98,0.93,0.38,0.804
230,Costa Rica,2022,0.89,0.85,0.89,0.54,1.0,0.89,0.72,0.89,0.66,0.7,0.87,1.0,0.74,0.83,0.65,0.78,0.98,0.93,0.38,0.806
231,Czechia,1990,0.71,0.84,0.87,0.94,0.67,0.72,0.65,0.94,0.56,0.66,0.95,0.5,0.85,0.74,0.8,0.95,0.95,0.82,0.42,0.748
232,Czechia,1991,0.73,0.84,0.87,0.94,0.67,0.72,0.65,0.94,0.56,0.66,0.95,0.5,0.85,0.74,0.8,0.95,0.96,0.82,0.42,0.746
233,Czechia,1992,0.77,0.83,0.86,0.84,0.67,0.72,0.65,0.94,0.56,0.66,0.95,0.5,0.85,0.71,0.8,0.95,0.96,0.83,0.42,0.747
234,Czechia,1993,0.77,0.83,0.86,0.84,0.67,0.72,0.66,0.98,0.74,0.66,0.95,1.0,0.87,0.71,0.8,0.95,0.96,0.84,0.42,0.755
235,Czechia,1994,0.77,0.83,0.86,0.84,0.67,0.72,0.67,0.98,0.74,0.66,0.95,1.0,0.87,0.71,0.8,0.95,0.97,0.84,0.42,0.766
236,Czechia,1995,0.77,0.83,0.86,0.84,0.67,0.72,0.67,0.98,0.74,0.66,0.95,0.5,0.85,0.71,0.8,0.95,0.97,0.84,0.42,0.775
237,Czechia,1996,0.77,0.84,0.87,0.78,0.67,0.72,0.67,0.98,0.74,0.66,0.95,0.5,0.85,0.72,0.8,0.95,0.97,0.85,0.42,0.786
238,Czechia,1997,0.77,0.84,0.87,0.78,0.67,0.72,0.67,0.85,0.74,0.66,0.95,0.5,0.85,0.72,0.8,0.95,0.98,0.85,0.42,0.791
239,Czechia,1998,0.77,0.83,0.61,0.77,0.67,0.72,0.66,0.98,0.74,0.66,0.95,0.5,0.85,0.74,0.8,0.95,0.98,0.86,0.42,0.794
240,Czechia,1999,0.77,0.83,0.61,0.77,0.67,0.72,0.66,0.98,0.74,0.66,0.95,0.5,0.85,0.74,0.8,0.95,0.98,0.86,0.43,0.799
241,Czechia,2000,0.76,0.83,0.61,0.77,0.67,0.72,0.66,0.98,0.74,0.66,0.95,0.5,0.85,0.74,0.8,0.95,0.98,0.87,0.43,0.81
242,Czechia,2001,0.76,0.83,0.61,0.77,0.67,0.72,0.66,0.98,0.74,0.66,0.95,0.5,0.85,0.74,0.8,0.95,0.99,0.87,0.43,0.8200000000000001
243,Czechia,2002,0.76,0.83,0.87,0.59,0.67,0.72,0.66,0.85,0.74,0.63,0.95,1.0,0.87,0.74,0.8,0.95,0.99,0.87,0.43,0.8260000000000001
244,Czechia,2003,0.76,0.83,0.87,0.59,0.67,0.72,0.66,0.98,0.74,0.63,0.95,1.0,0.87,0.72,0.8,0.95,0.99,0.87,0.43,0.833
245,Czechia,2004,0.76,0.83,0.87,0.59,0.67,0.72,0.66,0.85,0.74,0.69,0.95,1.0,0.87,0.75,0.8,0.95,0.99,0.88,0.43,0.838
246,Czechia,2005,0.76,0.83,0.87,0.59,1.0,0.7,0.69,0.85,0.74,0.69,0.95,1.0,0.87,0.72,0.8,0.95,0.99,0.88,0.43,0.847
247,Czechia,2006,0.76,0.88,0.9,0.65,1.0,0.74,0.71,0.85,0.7,0.69,0.95,1.0,0.87,0.72,0.8,0.95,0.99,0.89,0.44,0.856
248,Czechia,2007,0.76,0.88,0.9,0.65,1.0,0.73,0.71,0.98,0.7,0.69,0.89,1.0,0.85,0.75,0.8,0.95,0.99,0.89,0.44,0.862
249,Czechia,2008,0.73,0.88,0.9,0.65,1.0,0.76,0.71,0.98,0.74,0.69,0.89,1.0,0.85,0.73,0.8,0.95,0.99,0.89,0.44,0.865
250,Czechia,2009,0.73,0.88,0.9,0.65,1.0,0.77,0.71,0.98,0.74,0.69,0.88,1.0,0.85,0.73,0.8,0.95,0.99,0.9,0.44,0.866
251,Czechia,2010,0.76,0.88,0.9,0.62,1.0,0.76,0.71,0.98,0.78,0.69,0.94,1.0,0.85,0.72,0.82,0.95,0.99,0.9,0.45,0.872
252,Czechia,2011,0.74,0.88,0.9,0.62,1.0,0.78,0.7,0.98,0.78,0.69,0.94,1.0,0.85,0.77,0.82,0.95,0.99,0.91,0.45,0.876
253,Czechia,2012,0.74,0.88,0.9,0.62,1.0,0.77,0.72,1.0,0.74,0.69,0.94,1.0,0.85,0.75,0.82,0.95,0.99,0.91,0.45,0.878
254,Czechia,2013,0.71,0.88,0.9,0.58,1.0,0.77,0.72,1.0,0.74,0.73,0.9,1.0,0.74,0.74,0.82,0.95,1.0,0.91,0.45,0.884
255,Czechia,2014,0.73,0.88,0.9,0.58,1.0,0.75,0.73,0.81,0.74,0.73,0.76,1.0,0.71,0.74,0.82,0.95,1.0,0.92,0.46,0.889
256,Czechia,2015,0.73,0.88,0.9,0.58,1.0,0.75,0.73,0.81,0.74,0.73,0.76,1.0,0.71,0.75,0.82,0.95,1.0,0.92,0.46,0.891
257,Czechia,2016,0.73,0.88,0.9,0.58,1.0,0.75,0.72,0.8,0.7,0.73,0.76,1.0,0.71,0.79,0.82,0.95,0.99,0.92,0.46,0.894
258,Czechia,2017,0.68,0.78,0.89,0.58,1.0,0.72,0.69,0.8,0.7,0.73,0.76,1.0,0.71,0.74,0.82,0.95,0.99,0.92,0.47,0.896
259,Czechia,2018,0.68,0.67,0.89,0.58,1.0,0.71,0.69,0.84,0.7,0.73,0.76,1.0,0.69,0.76,0.82,0.95,1.0,0.92,0.47,0.893
260,Czechia,2019,0.7,0.67,0.89,0.58,1.0,0.7,0.69,0.77,0.7,0.73,0.72,1.0,0.68,0.7,0.82,0.95,1.0,0.93,0.47,0.896
261,Czechia,2020,0.72,0.67,0.89,0.58,1.0,0.72,0.63,0.77,0.7,0.73,0.72,1.0,0.67,0.7,0.82,0.95,1.0,0.91,0.47,0.891
262,Czechia,2021,0.78,0.86,0.87,0.61,1.0,0.71,0.64,0.84,0.7,0.73,0.76,1.0,0.68,0.76,0.82,0.95,1.0,0.91,0.47,0.891
263,Czechia,2022,0.8,0.86,0.87,0.61,1.0,0.75,0.73,0.84,0.66,0.73,0.86,1.0,0.75,0.74,0.82,0.95,1.0,0.91,0.47,0.895
264,Denmark,1990,1.0,0.81,0.86,0.81,1.0,1.0,0.97,0.98,0.74,0.96,0.98,1.0,1.0,0.9,0.91,1.0,0.97,0.86,0.47,0.839
265,Denmark,1991,1.0,0.81,0.86,0.81,1.0,1.0,0.97,0.98,0.74,0.96,0.98,1.0,1.0,0.9,0.91,1.0,0.97,0.87,0.47,0.843
266,Denmark,1992,1.0,0.81,0.86,0.81,1.0,1.0,0.97,0.98,0.74,0.96,0.98,1.0,1.0,0.9,0.91,1.0,0.97,0.87,0.47,0.845
267,Denmark,1993,1.0,0.81,0.86,0.81,1.0,1.0,0.97,0.98,0.74,0.96,0.98,1.0,1.0,0.9,0.91,1.0,0.98,0.87,0.48,0.848
268,Denmark,1994,1.0,0.81,0.86,0.82,1.0,1.0,0.97,0.98,0.74,0.96,0.98,1.0,1.0,0.9,0.91,1.0,0.98,0.87,0.48,0.854
269,Denmark,1995,1.0,0.81,0.86,0.82,1.0,1.0,0.97,0.98,0.74,0.96,0.98,1.0,1.0,0.9,0.91,1.0,0.98,0.87,0.48,0.857
270,Denmark,1996,1.0,0.81,0.86,0.82,1.0,1.0,0.97,0.98,0.74,0.96,0.98,1.0,1.0,0.9,0.91,1.0,0.98,0.88,0.48,0.864
271,Denmark,1997,1.0,0.81,0.86,0.82,1.0,1.0,0.97,0.98,0.74,0.96,0.98,1.0,1.0,0.9,0.91,1.0,0.98,0.88,0.48,0.871
272,Denmark,1998,1.0,0.81,0.86,0.83,1.0,1.0,0.97,0.98,0.74,0.96,0.98,1.0,1.0,0.9,0.91,1.0,0.98,0.88,0.49,0.878
273,Denmark,1999,1.0,0.81,0.86,0.83,1.0,1.0,0.97,0.98,0.74,0.96,0.98,1.0,1.0,0.9,0.91,1.0,0.98,0.89,0.49,0.888
274,Denmark,2000,1.0,0.81,0.86,0.83,1.0,1.0,0.97,0.98,0.74,0.96,0.98,1.0,1.0,0.9,0.91,1.0,0.98,0.89,0.49,0.89
275,Denmark,2001,1.0,0.81,0.86,0.85,1.0,1.0,0.97,0.98,0.74,0.96,0.98,1.0,1.0,0.92,0.91,1.0,0.98,0.89,0.49,0.897
276,Denmark,2002,1.0,0.81,0.86,0.85,1.0,1.0,0.97,0.98,0.74,0.96,0.98,1.0,1.0,0.92,0.91,1.0,0.98,0.89,0.49,0.896
277,Denmark,2003,1.0,0.81,0.86,0.85,1.0,1.0,1.0,0.98,0.74,0.96,0.98,1.0,1.0,0.92,0.91,1.0,0.99,0.9,0.5,0.901
278,Denmark,2004,1.0,0.81,0.86,0.85,1.0,1.0,1.0,0.98,0.74,0.96,0.98,1.0,1.0,0.95,0.91,1.0,0.99,0.9,0.5,0.906
279,Denmark,2005,1.0,0.86,0.9,0.81,1.0,1.0,1.0,0.85,0.74,0.96,0.98,1.0,1.0,0.9,0.91,1.0,0.99,0.91,0.5,0.911
280,Denmark,2006,1.0,0.86,0.9,0.81,1.0,1.0,1.0,0.98,0.74,0.96,0.98,1.0,1.0,0.88,0.91,1.0,0.99,0.91,0.5,0.911
281,Denmark,2007,1.0,0.86,0.9,0.83,1.0,1.0,1.0,0.98,0.74,0.96,0.98,1.0,1.0,0.9,0.91,1.0,0.99,0.91,0.51,0.912
282,Denmark,2008,1.0,0.86,0.9,0.83,1.0,1.0,1.0,0.98,0.74,0.96,0.98,1.0,1.0,0.92,0.91,1.0,0.99,0.92,0.51,0.915
283,Denmark,2009,1.0,0.86,0.9,0.83,1.0,1.0,1.0,0.98,0.74,0.96,0.98,1.0,1.0,0.92,0.91,1.0,0.99,0.92,0.51,0.909
284,Denmark,2010,1.0,0.86,0.9,0.83,1.0,1.0,1.0,0.98,0.74,0.96,0.98,1.0,1.0,0.94,0.91,1.0,0.99,0.92,0.51,0.913
285,Denmark,2011,1.0,0.86,0.9,0.82,1.0,1.0,1.0,0.98,0.74,0.96,0.98,1.0,1.0,0.95,0.91,1.0,0.99,0.93,0.51,0.927
286,Denmark,2012,1.0,0.86,0.9,0.82,1.0,1.0,1.0,0.89,0.74,0.96,0.98,1.0,1.0,0.94,0.91,1.0,0.99,0.94,0.52,0.931
287,Denmark,2013,1.0,0.86,0.9,0.82,1.0,1.0,1.0,1.0,0.74,0.96,0.98,1.0,1.0,0.94,0.91,1.0,0.99,0.94,0.52,0.933
288,Denmark,2014,1.0,0.86,0.9,0.82,1.0,1.0,1.0,0.89,0.74,0.96,0.98,1.0,1.0,0.95,0.91,1.0,0.99,0.95,0.52,0.932
289,Denmark,2015,1.0,0.85,0.9,0.8,1.0,1.0,1.0,0.89,0.74,0.96,0.98,1.0,1.0,0.92,0.91,1.0,0.99,0.95,0.52,0.936
290,Denmark,2016,1.0,0.85,0.9,0.8,1.0,1.0,1.0,0.89,0.74,0.96,0.98,1.0,1.0,0.92,0.91,1.0,0.99,0.95,0.52,0.943
291,Denmark,2017,1.0,0.85,0.9,0.8,1.0,0.93,1.0,0.89,0.74,0.96,0.98,1.0,1.0,0.94,0.91,1.0,0.99,0.95,0.53,0.944
292,Denmark,2018,1.0,0.85,0.9,0.8,1.0,0.93,1.0,0.89,0.74,0.96,0.98,1.0,1.0,0.89,0.91,1.0,0.99,0.95,0.53,0.942
293,Denmark,2019,1.0,0.85,0.89,0.76,1.0,0.93,1.0,0.89,0.74,0.96,0.98,1.0,1.0,0.95,0.91,1.0,0.99,0.96,0.53,0.946
294,Denmark,2020,1.0,0.85,0.89,0.76,1.0,1.0,0.85,0.87,0.74,0.96,0.98,1.0,1.0,0.93,0.91,1.0,0.99,0.96,0.53,0.946
295,Denmark,2021,1.0,0.85,0.89,0.76,1.0,1.0,0.83,0.89,0.74,0.96,0.98,1.0,1.0,0.94,0.91,1.0,0.99,0.96,0.53,0.947
296,Denmark,2022,1.0,0.85,0.89,0.76,1.0,1.0,0.99,0.89,0.74,0.96,0.98,1.0,1.0,0.94,0.91,1.0,0.99,0.96,0.53,0.952
297,Estonia,1991,0.66,0.68,0.82,0.78,0.5767391304235474,0.79,0.58,0.89,0.56,0.86,0.8,0.5,0.8,0.76,0.85,0.84,0.93,0.79,0.45,0.736
298,Estonia,1992,0.73,0.87,0.89,0.4,0.67,0.79,0.58,0.98,0.56,0.86,0.82,0.0,0.81,0.75,0.85,0.84,0.94,0.78,0.45,0.726
299,Estonia,1993,0.76,0.87,0.89,0.4,0.67,0.8,0.58,0.98,0.56,0.86,0.82,0.0,0.81,0.74,0.85,0.84,0.94,0.77,0.45,0.718
300,Estonia,1994,0.78,0.87,0.89,0.4,0.67,0.8,0.63,0.98,0.56,0.86,0.82,0.0,0.81,0.74,0.85,0.84,0.94,0.75,0.45,0.72
