year,coa,coo,totalrefugees,ccode_coo,ccode_coa,minimal_distance,groupname1,gwgroupid1,groupname2,gwgroupid2,groupname3,gwgroupid3,sources,quote,groupshare1_num,groupshare2_num,groupshare3_num,group1share_multiplier,group2share_multiplier,group3share_multiplier,group1_size,group2_size,group3_size
2017,Ecuador,Colombia,46616,100,130,0,Afro-Colombians,10002000,Indigenous peoples,10003000,White / mestizos,10101000,https://www.humanitarianresponse.info/system/files/documents/files/hno_colombia_2017_en.pdf,"According to OCHA’s monitoring, between January 2014 and August 2016, indigenous and Afro-colombians made up 74 per cent of IDPs in mass displacement events",minority,minority,minority,0.3,0.1,0.05,13984.8,4661.6,2330.8
2018,Ecuador,Colombia,50532,100,130,0,Afro-Colombians,10002000,Indigenous peoples,10003000,White / mestizos,10101000,https://www.thenewhumanitarian.org/news-feature/2021/01/13/colombian-migrants-marginalised-ecuador-refugees,"Moreno Núñez said the majority of Colombians seeking refuge in Ecuador are Black, from rural areas often controlled by armed groups. They have “already been abandoned by the Colombian state”, she said, and they continue to be invisible in Ecuador.",majority,minority,minority,0.6,0.2,0.05,30319.2,10106.4,2526.6
2019,Ecuador,Colombia,102928,100,130,0,Afro-Colombians,10002000,Indigenous peoples,10003000,White / mestizos,10101001,https://www.thenewhumanitarian.org/news-feature/2021/01/13/colombian-migrants-marginalised-ecuador-refugees,"Moreno Núñez said the majority of Colombians seeking refuge in Ecuador are Black, from rural areas often controlled by armed groups. They have “already been abandoned by the Colombian state”, she said, and they continue to be invisible in Ecuador.",majority,minority,minority,0.6,0.2,0.05,61756.8,20585.6,5146.4
2020,Ecuador,Colombia,103464,100,130,0,Afro-Colombians,10002000,Indigenous peoples,10003000,White / mestizos,10101002,https://www.thenewhumanitarian.org/news-feature/2021/01/13/colombian-migrants-marginalised-ecuador-refugees,"Moreno Núñez said the majority of Colombians seeking refuge in Ecuador are Black, from rural areas often controlled by armed groups. They have “already been abandoned by the Colombian state”, she said, and they continue to be invisible in Ecuador.",majority,minority,minority,0.6,0.2,0.05,62078.4,20692.8,5173.2
2007,Brazil,Colombia,17498,100,140,0,Colombians,10001000,Afrocolombian,10002000,Indigenous people,10003000,"http://reliefweb.int/node/252204; http://www.argumentations.com/Argumentations/StoryDetail_5849.aspx","UNHCR, working with local civil society partners and the government, is trying to help thousands of other Colombian refugees living in urban and rural areas of Brazil's Amazon region, including indigenous people, realize this too and look for t",majority,minority,minority,0.6,0.2,0.05,10498.8,3499.6,874.9
2019,Brazil,Venezuela (Bolivarian Republic of),20941,101,140,0,White / Mestizos,10101000,Afro-Venezuelans,10102000,Indigenous Peoples,10103000,,,dominant,minority,minority,0.9,0.05,0.05,18846.9,1047.05,1047.05
2020,Brazil,Venezuela (Bolivarian Republic of),38387,101,140,0,White / Mestizos,10101000,Afro-Venezuelans,10102000,Indigenous Peoples,10103000,,,dominant,minority,minority,0.9,0.05,0.05,34548.3,1919.35,1919.35
1975,Argentina,Chile,14400,155,160,0,Chileans,15501000,,,,,http://igitur-archive.library.uu.nl/student-theses/2011-0222-200310/Franka%20van%20Schaik%20-%20whole%20thesis.pdf,"Many Chileans fled to neighbouring country Argentina, which at the time of the Chilean coup was not a dictarorship until 1976.",dominant,,,0.95,,,13680,,
1996,Belgium,Poland,4466,290,211,601288,Poles,29001000,,,,,,,majority,,,0.65,,,2902.9,,
1997,Belgium,Poland,4466,290,211,601288,Poles,29001000,,,,,,,majority,,,0.65,,,2902.9,,
2014,France,Albania,2522,339,220,802578,Albanians,33901000,Roma,34012000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014 // Refworld: 2015 Country Reports on Human Rights Practices - Albania,"Asylbewerber aus Albanien sind größtenteils ethnische Albaner (etwa 90 %), die aus dem nördlichen Teil des Landes und aus der Hauptstadt Tirana stammen // There were reports of significant discrimination against members of the Romani and Balkan",majority,minority,,0.6,0.3,,1513.2,756.6,
2015,France,Albania,2911,339,220,802578,Albanians,33901000,Roma,34012000,,,,,majority,minority,,0.6,0.3,,1746.6,873.3,
2016,France,Albania,3568,339,220,802578,Albanians,33901000,Roma,34012000,,,,,majority,minority,,0.6,0.3,,2140.8,1070.4,
2017,France,Albania,4349,339,220,802578,Albanians,33901000,Roma,34012000,,,,,dominant,minority,,0.95,0.05,,4131.55,217.45,
2018,France,Albania,5119,339,220,802578,Albanians,33901000,Roma,34012000,,,,,majority,minority,,0.6,0.3,,3071.4,1535.7,
2019,France,Albania,5829,339,220,802578,Albanians,33901001,Roma,34012001,,,,,majority,minority,,0.6,0.3,,3497.4,1748.7,
2020,France,Albania,6040,339,220,802578,Albanians,33901002,Roma,34012002,,,,,majority,minority,,0.6,0.3,,3624,1812,
1994,France,Serbia,15000,345,220,732230,,,,,,,,,,,,,,,,,
1995,France,Serbia,5208,345,220,732230,,,,,,,,,,,,,,,,,
1996,France,Serbia,5264,345,220,732230,,,,,,,,,,,,,,,,,
1997,France,Serbia,5360,345,220,732230,Albanians,34506000,,,,,http://www.amgot.org/lfd/serbie.htm,2000 Kosovars sont arrivs jusqu'au 1.5.99,majority,,,0.65,,,3484,,
1998,France,Serbia,5558,345,220,732230,Albanians,34506000,,,,,USCRI,"UNHCR estimated that some 1,300 Yugoslavs, many ethnic Albanians from Kosovo, applied for asylum in France in 1998.",majority,,,0.65,,,3612.7,,
1999,France,Serbia,5886,345,220,732230,Albanians,34506000,,,,,USCRI,"France accepted some 7,500 Kosovars from Macedonian camps in April and May 1999",majority,,,0.65,,,3825.9,,
2000,France,Serbia,3791,345,220,732230,Albanians,34506000,,,,,,,majority,,,0.65,,,2464.15,,
2001,France,Serbia,3915,345,220,732230,Albanians,34506000,,,,,,,majority,,,0.65,,,2544.75,,
2002,France,Serbia,5589,345,220,732230,Albanians,34506000,,,,,,,majority,,,0.65,,,3632.85,,
2003,France,Serbia,5642,345,220,732230,Albanians,34506000,,,,,,,majority,,,0.65,,,3667.3,,
2004,France,Serbia,6292,345,220,732230,Albanians,34506000,,,,,,,majority,,,0.65,,,4089.8,,
2005,France,Serbia,6988,345,220,732230,Albanians,34506000,,,,,,,majority,,,0.65,,,4542.2,,
2006,France,Serbia,7334,345,220,794683,Albanians,34506000,,,,,,,majority,,,0.65,,,4767.1,,
2007,France,Serbia,7848,345,220,794683,Albanians,34506000,,,,,Annual Report on Asylum and Migration Statistics for FRANCE,Il sÕagit en ralit de personnes originaires du Kosovo appartenant dans leur majorit  la communaut albanaise.,majority,,,0.65,,,5101.2,,
2008,France,Serbia,8395,345,220,794683,Albanians,34506000,,,,,Annual Report on Asylum and Migration Statistics for FRANCE,Il sÕagit en ralit de personnes originaires du Kosovo appartenant dans leur majorit  la communaut albanaise.,majority,,,0.65,,,5456.75,,
2009,France,Serbia,9437,345,220,794683,Albanians,34506000,,,,,,,majority,,,0.65,,,6134.05,,
2010,France,Serbia and Kosovo (S/RES/1244 (1999)),9985,345,220,582929,Albanians,33901000,Roma,34012000,,,Sardelic: Roma Rights 1 2017: Roma and Conflict: Understanding the Impact of War and Political Violence,"the practice of refusing the claims of most asylum seek­ers from these countries is still problematic, especially in the case of Romani minorities, who can still prove a well-founded fear of persecution",majority,minority,,0.6,0.3,,5991,2995.5,
2011,France,Serbia and Kosovo (S/RES/1244 (1999)),10891,345,220,582929,Albanians,33901000,Roma,34012000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Ethnische Albaner reisen hauptsächlich aus dem Preevo-Tal nach Belgien und Frankreich. die Bewerber in
Frankreich und Belgien (
20) hauptsächlich ethnische Albaner.",majority,minority,,0.6,0.3,,6534.6,3267.3,
2012,France,Serbia and Kosovo (S/RES/1244 (1999)),11506,345,220,582929,Albanians,33901000,Roma,34012000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Ethnische Albaner reisen hauptsächlich aus dem Preevo-Tal nach Belgien und Frankreich. die Bewerber in
Frankreich und Belgien (
20) hauptsächlich ethnische Albaner.",majority,minority,,0.6,0.3,,6903.6,3451.8,
2013,France,Serbia and Kosovo (S/RES/1244 (1999)),11738,345,220,582929,Albanians,33901000,Roma,34012000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Ethnische Albaner reisen hauptsächlich aus dem Preevo-Tal nach Belgien und Frankreich. die Bewerber in
Frankreich und Belgien (
20) hauptsächlich ethnische Albaner.",majority,minority,,0.6,0.3,,7042.8,3521.4,
2012,Germany,Croatia,4614,344,255,221981,Roma,34405000,,,,,BAMF,,dominant,,,0.95,,,4383.3,,
2014,France,Serbia and Kosovo (S/RES/1244 (1999)),12119,345,220,582929,Albanians,33901000,Roma,34012000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Ethnische Albaner reisen hauptsächlich aus dem Preevo-Tal nach Belgien und Frankreich. die Bewerber in
Frankreich und Belgien (
20) hauptsächlich ethnische Albaner.",majority,minority,,0.6,0.3,,7271.4,3635.7,
2015,France,Serbia and Kosovo (S/RES/1244 (1999)),12500,345,220,582929,Albanians,33901000,Roma,34012000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Ethnische Albaner reisen hauptsächlich aus dem Preevo-Tal nach Belgien und Frankreich. die Bewerber in
Frankreich und Belgien (
20) hauptsächlich ethnische Albaner.",majority,minority,,0.6,0.3,,7500,3750,
2016,France,Serbia and Kosovo (S/RES/1244 (1999)),13154,345,220,582929,Albanians,33901000,Roma,34012000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Ethnische Albaner reisen hauptsächlich aus dem Preevo-Tal nach Belgien und Frankreich. die Bewerber in
Frankreich und Belgien (
20) hauptsächlich ethnische Albaner.",majority,minority,,0.6,0.3,,7892.4,3946.2,
2017,France,Serbia and Kosovo (S/RES/1244 (1999)),13376,345,220,582929,Albanians,33901000,Roma,34012000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Ethnische Albaner reisen hauptsächlich aus dem Preševo-Tal nach Belgien und Frankreich. die Bewerber in
Frankreich und Belgien (
20) hauptsächlich ethnische Albaner.",majority,minority,,0.6,0.3,,8025.6,4012.8,
2004,France,Bosnia and Herzegovina,2642,346,220,543617,Bosniak / Muslims,34601000,Croats,,,,USCRI,80 percent of whom were Bosnian Muslims,dominant,minority,,0.95,0.05,,2509.9,132.1,
2005,France,Bosnia and Herzegovina,3372,346,220,543617,Bosniak / Muslims,34601000,Croats,,,,USCRI,80 percent of whom were Bosnian Muslims,dominant,minority,,0.95,0.05,,3203.4,168.6,
2006,France,Bosnia and Herzegovina,3613,346,220,543617,Bosniak / Muslims,34601000,Croats,,,,USCRI,80 percent of whom were Bosnian Muslims,dominant,minority,,0.95,0.05,,3432.35,180.65,
2007,France,Bosnia and Herzegovina,3780,346,220,543617,Bosniak / Muslims,34601000,Croats,,,,USCRI,80 percent of whom were Bosnian Muslims,dominant,minority,,0.95,0.05,,3591,189,
2008,France,Bosnia and Herzegovina,3834,346,220,543617,Bosniak / Muslims,34601000,Croats,,,,USCRI,80 percent of whom were Bosnian Muslims,dominant,minority,,0.95,0.05,,3642.3,191.7,
2009,France,Bosnia and Herzegovina,4041,346,220,543617,Bosniak / Muslims,34601000,Croats,,,,USCRI,80 percent of whom were Bosnian Muslims,dominant,minority,,0.95,0.05,,3838.95,202.05,
2010,France,Bosnia and Herzegovina,4083,346,220,543617,Roma,34604000,Bosniaks/Muslims,34601000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Laut der Schätzung von Bosnien und Herzegowina verlassen hauptsächlich Roma und Bosniaken das Land, um im Ausland Asyl zu beantragen.",majority,minority,,0.6,0.3,,2449.8,1224.9,
2011,France,Bosnia and Herzegovina,4108,346,220,543617,Roma,34604000,Bosniaks/Muslims,34601000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Laut der Schätzung von Bosnien und Herzegowina verlassen hauptsächlich Roma und Bosniaken das Land, um im Ausland Asyl zu beantragen.",majority,minority,,0.6,0.3,,2464.8,1232.4,
2012,France,Bosnia and Herzegovina,4118,346,220,543617,Roma,34604000,Bosniaks/Muslims,34601000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Laut der Schätzung von Bosnien und Herzegowina verlassen hauptsächlich Roma und Bosniaken das Land, um im Ausland Asyl zu beantragen.",majority,minority,,0.6,0.3,,2470.8,1235.4,
2013,France,Bosnia and Herzegovina,4174,346,220,543617,Roma,34604000,Bosniaks/Muslims,34601000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Laut der Schätzung von Bosnien und Herzegowina verlassen hauptsächlich Roma und Bosniaken das Land, um im Ausland Asyl zu beantragen.",majority,minority,,0.6,0.3,,2504.4,1252.2,
2014,France,Bosnia and Herzegovina,4078,346,220,543617,Roma,34604000,Bosniaks/Muslims,34601000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Laut der Schätzung von Bosnien und Herzegowina verlassen hauptsächlich Roma und Bosniaken das Land, um im Ausland Asyl zu beantragen.",majority,minority,,0.6,0.3,,2446.8,1223.4,
2015,France,Bosnia and Herzegovina,4055,346,220,543617,Roma,34604000,Bosniaks/Muslims,34601000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Laut der Schätzung von Bosnien und Herzegowina verlassen hauptsächlich Roma und Bosniaken das Land, um im Ausland Asyl zu beantragen.",majority,minority,,0.6,0.3,,2433,1216.5,
2016,France,Bosnia and Herzegovina,4065,346,220,543617,Roma,34604000,Bosniaks/Muslims,34601000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Laut der Schätzung von Bosnien und Herzegowina verlassen hauptsächlich Roma und Bosniaken das Land, um im Ausland Asyl zu beantragen.",majority,minority,,0.6,0.3,,2439,1219.5,
2017,France,Bosnia and Herzegovina,4085,346,220,543617,Roma,34604000,Bosniaks/Muslims,34601000,,,,,majority,minority,,0.6,0.3,,2451,1225.5,
2018,France,Bosnia and Herzegovina,4099,346,220,543617,Roma,34604000,Bosniaks / Muslims,34601000,,,,,majority,minority,,0.6,0.3,,2459.4,1229.7,
2019,France,Bosnia and Herzegovina,4116,346,220,543617,Roma,34604001,Bosniaks / Muslims,34601001,,,,,majority,minority,,0.6,0.3,,2469.6,1234.8,
2020,France,Bosnia and Herzegovina,4115,346,220,543617,Roma,34604002,Bosniaks / Muslims,34601002,,,,,majority,minority,,0.6,0.3,,2469,1234.5,
1995,France,Romania,2852,360,220,924976,Roma,36003000,,,,,,,majority,,,0.65,,,1853.8,,
1996,France,Romania,2364,360,220,924976,Roma,36003000,,,,,,,majority,,,0.65,,,1536.6,,
1994,France,Algeria,20000,615,220,493478,Arabs,61501000,,,,,,,dominant,,,0.95,,,19000,,
2020,France,Algeria,2067,615,220,493478,Arabs,61501000,,,,,,,majority,,,0.65,,,1343.55,,
1993,Switzerland,Poland,2332,290,225,540392,Poles,29001000,,,,,,,majority,,,0.65,,,1515.8,,
1993,Switzerland,Czech Rep.,2429,316,225,320948,,,Serbs,,Roma,,,,,,minority,,,,,,
1993,Switzerland,Serbia,3229,345,225,646544,,,,,,,,,,,,,,,,,
1994,Switzerland,Serbia,4883,345,225,646544,,,,,,,,,,,,,,,,,
1997,Switzerland,Serbia,7038,345,225,646544,,,Croats,,,,,,,,,,,,,,
1998,Switzerland,Serbia,3006,345,225,646544,,,,,,,,,,,,,,,,,
1999,Switzerland,Serbia,4481,345,225,646544,,,,,,,,,,,,,,,,,
2000,Switzerland,Serbia,9309,345,225,646544,Albanians,34506000,,,,,,,dominant,,,0.95,,,8843.55,,
2001,Switzerland,Serbia,12493,345,225,646544,Albanians,34506000,,,,,,,dominant,,,0.95,,,11868.3,,
2002,Switzerland,Serbia,12001,345,225,646544,Albanians,34506000,,,,,,,dominant,,,0.95,,,11401,,
2003,Switzerland,Serbia,11249,345,225,646544,Albanians,34506000,,,,,,,dominant,,,0.95,,,10686.5,,
2004,Switzerland,Serbia,10956,345,225,646544,Albanians,34506000,,,,,,,dominant,,,0.95,,,10408.2,,
2005,Switzerland,Serbia,10586,345,225,646544,Albanians,34506000,,,,,,,dominant,,,0.95,,,10056.7,,
2006,Switzerland,Serbia,9827,345,225,646544,Albanians,34506000,,,,,,,dominant,,,0.95,,,9335.65,,
2007,Switzerland,Serbia,8315,345,225,646544,Albanians,34506000,,,,,,,dominant,,,0.95,,,7899.25,,
2008,Switzerland,Serbia,7397,345,225,646544,Albanians,34506000,,,,,,,dominant,,,0.95,,,7027.15,,
2010,Switzerland,Serbia and Kosovo (S/RES/1244 (1999)),5288,345,225,441842,Roma,34012000,Albanians,33901000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Die Asylbewerber aus den westlichen Balkanstaaten setzen sich in erster Linie aus Roma aus Serbien und der EJRM sowie aus Albanern aus Albanien und dem Kosovo zusammen. ... d kann daher mit den speziellen Faktoren zusammenhängen, die dort die G",majority,minority,,0.6,0.3,,3172.8,1586.4,
2011,Switzerland,Serbia and Kosovo (S/RES/1244 (1999)),4457,345,225,441842,Roma,34012000,Albanians,33901000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Die Asylbewerber aus den westlichen Balkanstaaten setzen sich in erster Linie aus Roma aus Serbien und der EJRM sowie aus Albanern aus Albanien und dem Kosovo zusammen. ... d kann daher mit den speziellen Faktoren zusammenhängen, die dort die G",majority,minority,,0.6,0.3,,2674.2,1337.1,
2012,Switzerland,Serbia and Kosovo (S/RES/1244 (1999)),4083,345,225,441842,Roma,34012000,Albanians,33901000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Die Asylbewerber aus den westlichen Balkanstaaten setzen sich in erster Linie aus Roma aus Serbien und der EJRM sowie aus Albanern aus Albanien und dem Kosovo zusammen. ... d kann daher mit den speziellen Faktoren zusammenhängen, die dort die G",majority,minority,,0.6,0.3,,2449.8,1224.9,
2013,Switzerland,Serbia and Kosovo (S/RES/1244 (1999)),3542,345,225,441842,Roma,34012000,Albanians,33901000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Die Asylbewerber aus den westlichen Balkanstaaten setzen sich in erster Linie aus Roma aus Serbien und der EJRM sowie aus Albanern aus Albanien und dem Kosovo zusammen. ... d kann daher mit den speziellen Faktoren zusammenhängen, die dort die G",majority,minority,,0.6,0.3,,2125.2,1062.6,
2014,Switzerland,Serbia and Kosovo (S/RES/1244 (1999)),3380,345,225,441842,Roma,34012000,Albanians,33901000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Die Asylbewerber aus den westlichen Balkanstaaten setzen sich in erster Linie aus Roma aus Serbien und der EJRM sowie aus Albanern aus Albanien und dem Kosovo zusammen. ... d kann daher mit den speziellen Faktoren zusammenhängen, die dort die G",majority,minority,,0.6,0.3,,2028,1014,
2015,Switzerland,Serbia and Kosovo (S/RES/1244 (1999)),3158,345,225,441842,Roma,34012000,Albanians,33901000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Die Asylbewerber aus den westlichen Balkanstaaten setzen sich in erster Linie aus Roma aus Serbien und der EJRM sowie aus Albanern aus Albanien und dem Kosovo zusammen. ... d kann daher mit den speziellen Faktoren zusammenhängen, die dort die G",majority,minority,,0.6,0.3,,1894.8,947.4,
2016,Switzerland,Serbia and Kosovo (S/RES/1244 (1999)),2976,345,225,441842,Roma,34012000,Albanians,33901000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Die Asylbewerber aus den westlichen Balkanstaaten setzen sich in erster Linie aus Roma aus Serbien und der EJRM sowie aus Albanern aus Albanien und dem Kosovo zusammen. ... d kann daher mit den speziellen Faktoren zusammenhängen, die dort die G",majority,minority,,0.6,0.3,,1785.6,892.8,
2017,Switzerland,Serbia and Kosovo (S/RES/1244 (1999)),2777,345,225,441842,Roma,34012000,Albanians,33901000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Die Asylbewerber aus den westlichen Balkanstaaten setzen sich in erster Linie aus Roma aus Serbien und der EJRM sowie aus Albanern aus Albanien und dem Kosovo zusammen. ... d kann daher mit den speziellen Faktoren zusammenhängen, die dort die Gemeinschaft der Roma betreffen, da diese die Mehrheit der Antragsteller aus.  Ethnische Albaner aus den Städten Bujanovac und Preševo (dem sogenannten Preševo-Tal) machen einen
kleinen, aber bedeutenden Anteil der Asylbewerber aus Serbien aus. 
diesen Ländern bilden.  In der Schweiz sind rund 50 % der Asylbewerber aus dem Kosovo Roma",majority,minority,,0.6,0.3,,1666.2,833.1,
1995,Switzerland,Bosnia and Herzegovina,4499,346,225,440710,Bosniak / Muslims,34601000,Croats,34603000,Serbs,34602000,,,majority,minority,minority,0.6,0.2,0.05,2699.4,899.8,224.95
1996,Switzerland,Bosnia and Herzegovina,5144,346,225,440710,Bosniak / Muslims,34601000,Croats,34603000,Serbs,34602000,,,majority,minority,minority,0.6,0.2,0.05,3086.4,1028.8,257.2
1997,Switzerland,Bosnia and Herzegovina,10410,346,225,440710,Bosniak / Muslims,34601000,Croats,34603000,Serbs,34602000,,,majority,minority,minority,0.6,0.2,0.05,6246,2082,520.5
1998,Switzerland,Bosnia and Herzegovina,5854,346,225,440710,Bosniak / Muslims,34601000,Croats,34603000,Serbs,34602000,,,majority,minority,minority,0.6,0.2,0.05,3512.4,1170.8,292.7
1999,Switzerland,Bosnia and Herzegovina,7287,346,225,440710,Bosniak / Muslims,34601000,Croats,34603000,Serbs,34602000,,,majority,minority,minority,0.6,0.2,0.05,4372.2,1457.4,364.35
2000,Switzerland,Bosnia and Herzegovina,7964,346,225,440710,Bosniak / Muslims,34601000,Croats,34603000,Serbs,34602000,,,majority,minority,minority,0.6,0.2,0.05,4778.4,1592.8,398.2
2001,Switzerland,Bosnia and Herzegovina,8043,346,225,440710,Bosniak / Muslims,34601000,Croats,34603000,Serbs,34602000,,,majority,minority,minority,0.6,0.2,0.05,4825.8,1608.6,402.15
2002,Switzerland,Bosnia and Herzegovina,7654,346,225,440710,Bosniak / Muslims,34601000,Croats,34603000,Serbs,34602000,,,majority,minority,minority,0.6,0.2,0.05,4592.4,1530.8,382.7
2003,Switzerland,Bosnia and Herzegovina,6945,346,225,440710,Bosniak / Muslims,34601000,Croats,34603000,Serbs,34602000,,,majority,minority,minority,0.6,0.2,0.05,4167,1389,347.25
2004,Switzerland,Bosnia and Herzegovina,6553,346,225,440710,Bosniak / Muslims,34601000,Croats,34603000,Serbs,34602000,,,majority,minority,minority,0.6,0.2,0.05,3931.8,1310.6,327.65
2005,Switzerland,Bosnia and Herzegovina,6165,346,225,440710,Bosniak / Muslims,34601000,Croats,34603000,Serbs,34602000,,,majority,minority,minority,0.6,0.2,0.05,3699,1233,308.25
2006,Switzerland,Bosnia and Herzegovina,5548,346,225,440710,Bosniak / Muslims,34601000,Croats,34603000,Serbs,34602000,,,majority,minority,minority,0.6,0.2,0.05,3328.8,1109.6,277.4
2007,Switzerland,Bosnia and Herzegovina,4900,346,225,440710,Bosniak / Muslims,34601000,Croats,34603000,Serbs,34602000,,,majority,minority,minority,0.6,0.2,0.05,2940,980,245
2008,Switzerland,Bosnia and Herzegovina,4314,346,225,440710,Bosniak / Muslims,34601000,Croats,34603000,Serbs,34602000,,,majority,minority,minority,0.6,0.2,0.05,2588.4,862.8,215.7
2009,Switzerland,Bosnia and Herzegovina,3792,346,225,440710,Bosniak / Muslims,34601000,Croats,34603000,Serbs,34602000,,,majority,minority,minority,0.6,0.2,0.05,2275.2,758.4,189.6
2010,Switzerland,Bosnia and Herzegovina,3370,346,225,440710,Roma,34604000,Bosniaks/Muslims,34601000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Laut der Schätzung von Bosnien und Herzegowina verlassen hauptsächlich Roma und Bosniaken das Land, um im Ausland Asyl zu beantragen.",majority,minority,,0.6,0.3,,2022,1011,
2011,Switzerland,Bosnia and Herzegovina,3043,346,225,440710,Roma,34604000,Bosniaks/Muslims,34601000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Laut der Schätzung von Bosnien und Herzegowina verlassen hauptsächlich Roma und Bosniaken das Land, um im Ausland Asyl zu beantragen.",majority,minority,,0.6,0.3,,1825.8,912.9,
2002,Germany,Serbia,183170,345,255,481625,Albanians,34506000,Roma,34512000,Serbs,34501000,BAMF,,majority,minority,minority,0.6,0.2,0.05,109902,36634,9158.5
2012,Switzerland,Bosnia and Herzegovina,2795,346,225,440710,Roma,34604000,Bosniaks/Muslims,34601000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Laut der Schätzung von Bosnien und Herzegowina verlassen hauptsächlich Roma und Bosniaken das Land, um im Ausland Asyl zu beantragen.",majority,minority,,0.6,0.3,,1677,838.5,
2013,Switzerland,Bosnia and Herzegovina,2603,346,225,440710,Roma,34604000,Bosniaks/Muslims,34601000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Laut der Schätzung von Bosnien und Herzegowina verlassen hauptsächlich Roma und Bosniaken das Land, um im Ausland Asyl zu beantragen.",majority,minority,,0.6,0.3,,1561.8,780.9,
2014,Switzerland,Bosnia and Herzegovina,2460,346,225,440710,Roma,34604000,Bosniaks/Muslims,34601000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Laut der Schätzung von Bosnien und Herzegowina verlassen hauptsächlich Roma und Bosniaken das Land, um im Ausland Asyl zu beantragen.",majority,minority,,0.6,0.3,,1476,738,
2015,Switzerland,Bosnia and Herzegovina,2274,346,225,440710,Roma,34604000,Bosniaks/Muslims,34601000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Laut der Schätzung von Bosnien und Herzegowina verlassen hauptsächlich Roma und Bosniaken das Land, um im Ausland Asyl zu beantragen.",majority,minority,,0.6,0.3,,1364.4,682.2,
2016,Switzerland,Bosnia and Herzegovina,2173,346,225,440710,Roma,34604000,Bosniaks/Muslims,34601000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Laut der Schätzung von Bosnien und Herzegowina verlassen hauptsächlich Roma und Bosniaken das Land, um im Ausland Asyl zu beantragen.",majority,minority,,0.6,0.3,,1303.8,651.9,
2017,Switzerland,Bosnia and Herzegovina,2026,346,225,440710,Roma,34604000,Bosniaks/Muslims,34601000,,,EASO: Asylanträge aus den westlichen Balkanstaaten 2014,"Laut der Schätzung von Bosnien und Herzegowina verlassen hauptsächlich Roma und Bosniaken das Land, um im Ausland Asyl zu beantragen.",majority,minority,,0.6,0.3,,1215.6,607.8,
2006,Germany,Spain,2431,230,255,674851,,,,,,,,,,,,,,,,,
2002,Germany,Poland,15182,290,255,0,Polish,29001000,,,,,BAFM,,dominant,,,0.95,,,14422.9,,
2003,Germany,Poland,13769,290,255,0,Polish,29001000,,,,,BAFM,,dominant,,,0.95,,,13080.5,,
2004,Germany,Poland,9292,290,255,0,Polish,29001000,,,,,BAFM,,dominant,,,0.95,,,8827.4,,
2005,Germany,Poland,18265,290,255,0,Polish,29001000,,,,,BAFM,,dominant,,,0.95,,,17351.8,,
2006,Germany,Poland,12182,290,255,0,Polish,29001000,,,,,BAFM,,dominant,,,0.95,,,11572.9,,
2002,Germany,Hungary,2540,310,255,221669,Hungarians,31001000,,,,,BAFM,,dominant,,,0.95,,,2413,,
2003,Germany,Hungary,2349,310,255,221669,Hungarians,31001000,,,,,BAFM,,dominant,,,0.95,,,2231.55,,
2005,Germany,Hungary,2398,310,255,221669,Hungarians,31001000,,,,,BAFM,,dominant,,,0.95,,,2278.1,,
2006,Germany,Hungary,2161,310,255,221669,Hungarians,31001000,,,,,BAFM,,dominant,,,0.95,,,2052.95,,
2002,Germany,Czech Rep.,5935,316,255,0,Czech,31601000,,,,,BAFM,,dominant,,,0.95,,,5638.25,,
2003,Germany,Czech Rep.,5640,316,255,0,Czech,31601000,,,,,BAFM,,dominant,,,0.95,,,5358,,
